Date,2419.TW
2023-01-03,24.4
2023-01-04,26.8
2023-01-05,26.1
2023-01-06,25.75
2023-01-09,25.95
2023-01-10,25.8
2023-01-11,25.75
2023-01-12,25.5
2023-01-13,25.1
2023-01-16,24.95
2023-01-17,25.1
2023-01-30,25.6
2023-01-31,25.9
2023-02-01,26.1
2023-02-02,26.45
2023-02-03,26.1
2023-02-06,26.35
2023-02-07,26.7
2023-02-08,26.3
2023-02-09,26.25
2023-02-10,25.95
2023-02-13,26.2
2023-02-14,26.2
2023-02-15,26.3
2023-02-16,26.5
2023-02-17,26.8
2023-02-20,26.95
2023-02-21,27.05
2023-02-22,26.65
2023-02-23,26.85
2023-02-24,27.25
2023-03-01,27.6
2023-03-02,29.2
2023-03-03,28.5
2023-03-06,28.45
2023-03-07,28.8
2023-03-08,29.4
2023-03-09,28.95
2023-03-10,28.1
2023-03-13,28.4
2023-03-14,28.25
2023-03-15,28.0
2023-03-16,26.9
2023-03-17,27.15
2023-03-20,27.25
2023-03-21,27.55
2023-03-22,27.65
2023-03-23,27.9
2023-03-24,27.7
2023-03-27,28.05
2023-03-28,27.3
2023-03-29,27.4
2023-03-30,28.3
2023-03-31,27.8
2023-04-06,28.35
2023-04-07,28.15
2023-04-10,28.5
2023-04-11,28.6
2023-04-12,28.8
2023-04-13,28.3
2023-04-14,28.55
2023-04-17,29.05
2023-04-18,28.7
2023-04-19,28.8
2023-04-20,28.2
2023-04-21,26.85
2023-04-24,26.9
2023-04-25,26.0
2023-04-26,26.15
2023-04-27,26.15
2023-04-28,26.0
2023-05-02,26.45
2023-05-03,25.85
2023-05-04,26.3
2023-05-05,26.35
2023-05-08,26.65
2023-05-09,26.05
2023-05-10,26.2
2023-05-11,25.7
2023-05-12,25.75
2023-05-15,25.9
2023-05-16,26.1
2023-05-17,26.2
2023-05-18,26.35
2023-05-19,26.45
2023-05-22,26.7
2023-05-23,26.6
2023-05-24,26.5
2023-05-25,26.4
2023-05-26,26.15
2023-05-29,26.7
2023-05-30,26.85
2023-05-31,27.2
2023-06-01,27.05
2023-06-02,27.3
2023-06-05,27.55
2023-06-06,27.1
2023-06-07,27.0
2023-06-08,26.7
2023-06-09,27.1
2023-06-12,26.85
2023-06-13,27.1
2023-06-14,27.25
2023-06-15,27.3
2023-06-16,27.75
2023-06-19,27.55
2023-06-20,27.55
2023-06-21,27.75
